MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
-17.422	15.322	2.753	13.495	0.542	0.286	-2.655	-1.899	4.619	-38.446	4.940	9.418	3.344	3.134	-2.562	-25.201
-17.418	15.323	5.743	13.493	0.542	-1.713	-4.649	-0.909	1.616	-37.444	1.936	9.426	3.335	2.129	-2.556	-24.208
-18.414	14.324	6.734	12.492	-0.459	-3.713	-5.644	-0.920	0.613	-35.443	-1.067	9.435	4.325	0.124	-2.551	-22.216
-18.410	9.325	8.724	7.491	-0.459	-5.713	-6.639	0.069	-0.390	-32.441	-4.071	9.444	4.316	-1.881	-2.546	-20.223
-18.406	6.326	10.714	7.489	-1.460	-6.712	-7.634	0.059	-1.393	-29.439	-8.075	9.452	5.307	-3.886	-1.541	-18.231
-18.402	3.326	11.705	5.488	-2.460	-8.712	-7.629	1.048	-1.396	-26.438	-11.078	10.461	6.297	-5.891	-2.536	-15.238
-18.398	1.327	12.695	0.486	-3.461	-8.711	-7.624	1.037	-2.399	-22.436	-13.082	11.470	7.288	-6.896	-2.531	-12.245
-18.394	-1.672	13.686	-0.515	-4.461	-8.711	-7.619	1.027	-2.401	-18.434	-15.085	13.478	7.278	-8.901	-2.526	-9.253
-17.390	-3.671	14.676	-0.516	-6.462	-6.710	-6.614	1.016	-1.404	-13.433	-17.089	14.487	8.269	-9.907	-3.520	-5.260
-15.386	-4.670	15.667	-1.518	-6.462	-6.710	-4.609	1.005	-1.407	-8.431	-17.093	16.496	8.260	-9.912	-2.515	-2.268
-15.382	-5.670	15.657	-3.519	-5.463	-2.710	-4.604	-0.005	-0.410	1.571	-15.096	19.504	8.250	-8.917	-2.510	3.725
-15.378	-5.669	15.648	-2.520	-5.463	0.291	-3.599	-1.016	-0.413	6.572	-15.100	20.513	8.241	-6.922	-1.505	5.718
-13.374	-5.668	15.638	-1.522	-3.464	3.291	0.407	-1.027	0.584	6.574	-12.104	20.522	8.231	-5.927	1.500	5.710
-11.370	-4.667	15.629	-0.523	-1.464	7.292	2.412	-1.037	0.581	15.576	-9.107	20.530	8.222	-5.932	3.505	9.703
-9.366	-3.667	14.619	0.475	0.536	10.292	3.417	-1.048	1.578	19.577	-6.111	19.539	8.212	-0.937	6.510	10.696
-8.362	-0.666	14.609	1.474	2.535	12.292	4.422	-1.059	2.575	23.579	-3.115	18.548	8.203	2.058	9.515	10.688
-7.358	-0.665	13.600	2.473	3.535	14.293	5.427	-1.070	2.573	26.581	-0.118	15.556	9.194	5.053	12.521	10.681
-6.354	0.336	13.590	3.471	4.534	16.293	5.432	-0.080	3.570	28.582	3.878	12.565	10.184	7.047	15.526	9.673
-4.350	1.337	12.581	2.470	5.534	16.294	4.437	0.909	4.567	29.584	7.875	8.574	11.175	9.042	18.531	8.666
-3.346	0.337	10.571	1.469	4.533	17.294	3.442	2.898	4.564	29.586	14.871	4.582	12.165	12.037	20.536	6.659
-1.342	-0.662	8.562	0.467	4.533	16.295	2.447	3.888	4.561	28.587	14.867	-0.409	13.156	13.032	22.541	4.651
-0.338	-1.661	8.552	-5.534	2.532	15.295	1.452	5.877	5.558	28.589	17.864	-9.400	14.146	16.027	22.546	2.644
1.665	-2.660	7.543	-5.535	2.532	13.296	-0.543	5.866	5.555	25.591	20.860	-9.392	15.137	16.022	22.551	-2.363
3.670	-3.660	5.533	-8.537	-1.469	11.296	-4.538	6.856	4.553	22.592	22.856	-16.383	16.127	17.017	18.556	-2.371
5.673	-4.659	4.523	-11.538	-4.469	9.296	-6.533	6.845	4.550	19.594	24.853	-16.374	16.118	17.012	15.562	-5.378
9.677	-4.658	3.514	-18.539	-6.470	6.297	-7.527	5.834	3.547	13.596	25.849	-19.366	16.109	16.007	11.567	-10.386
9.681	-4.657	3.504	-20.541	-8.470	4.297	-7.522	4.824	3.544	8.597	24.846	-20.357	15.099	15.002	11.572	-12.393
11.685	-4.657	1.495	-22.542	-9.471	4.298	-10.517	4.813	0.541	5.599	21.842	-20.348	12.090	13.996	3.577	-14.400
14.689	-3.656	0.485	-23.543	-9.471	2.298	-10.512	0.802	-0.462	5.601	19.838	-18.340	10.080	11.991	-1.418	-16.408
15.693	0.345	0.476	-24.545	-10.472	1.298	-10.507	-1.209	-1.465	-1.398	15.835	-16.331	8.071	9.986	-4.413	-17.415
15.697	3.346	-0.534	-22.546	-10.472	1.299	-10.502	-3.219	-3.468	-4.396	15.831	-13.322	6.061	7.981	-8.408	-19.422
16.701	5.346	-0.543	-21.548	-9.472	1.299	-9.497	-5.230	-4.470	-6.394	6.827	-10.314	3.052	4.976	-11.403	-19.430
15.705	5.347	-1.553	-18.549	-9.473	1.300	-8.492	-6.241	-5.473	-8.393	2.824	-7.305	1.042	2.971	-14.397	-20.437
13.709	10.348	-1.563	-15.550	-8.473	1.300	-7.487	-7.251	-5.476	-10.391	-2.180	-4.296	0.033	-0.034	-15.392	-20.445
11.713	11.349	-3.572	-11.552	-8.474	1.301	-5.482	-7.262	-5.479	-12.389	-6.184	-0.288	-0.976	-2.039	-17.387	-20.452
9.717	13.350	-3.582	-7.553	-8.474	1.301	-4.477	-7.273	-5.482	-12.388	-10.187	2.721	-1.986	-4.044	-17.382	-20.459
6.721	13.350	-4.591	1.446	-7.475	0.301	-2.472	-6.284	-5.485	-12.386	-13.191	5.730	-0.995	-6.049	-17.377	-19.467
4.725	14.351	-5.601	5.444	-8.475	-0.698	-0.467	-5.294	-4.488	-12.384	-16.194	7.738	0.995	-7.054	-17.372	-17.474
0.729	14.352	-6.610	5.443	-9.476	-0.698	2.538	-3.305	-3.490	-11.383	-18.198	9.747	2.986	-9.060	-15.367	-17.481
-1.267	13.353	-8.620	11.442	-10.476	-0.697	2.544	-1.316	-2.493	-11.381	-18.202	10.756	5.976	-10.065	-13.362	-16.489
-5.263	12.353	-8.629	13.440	-10.477	-2.697	5.549	2.674	-2.496	-7.379	-18.205	12.764	10.967	-10.070	-12.357	-13.496
-5.259	11.354	-9.639	14.439	-10.477	-3.696	5.554	4.663	-2.499	-5.378	-18.209	13.773	15.957	-10.075	-12.351	-11.504
-7.255	10.355	-9.649	15.438	-11.478	-3.696	6.559	5.652	-2.502	-5.376	-15.212	13.782	27.948	-10.080	-8.346	-10.511
-7.251	9.356	-9.658	14.436	-11.478	-4.695	7.564	5.641	-2.505	-2.374	-12.216	13.790	33.938	-10.085	-5.341	-9.518
-7.247	8.356	-9.668	13.435	-11.479	-5.695	7.569	6.631	-3.508	2.627	-9.220	14.799	33.929	-9.090	-3.336	-7.526
-6.243	7.357	-8.677	12.434	-10.479	-6.695	7.574	5.620	-3.510	5.629	-6.223	14.808	42.920	-8.095	-1.331	-6.533
-6.239	6.358	-7.687	10.432	-9.480	-7.694	6.579	4.609	-5.513	7.630	-3.227	14.816	46.910	-7.100	0.674	-5.540
-5.235	5.359	-6.696	7.431	-7.480	-8.694	5.584	3.599	-7.516	9.632	-0.230	15.825	47.901	-7.105	1.679	-4.548
