# MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
-4.697519494661621386e-02	4.280511610335605011e-02	-4.308953543535602726e-02	2.990990366122510055e-02	5.948509587571432916e-02	-3.870210069771350819e-02	6.210807329403512239e-02	1.992648470852482340e-02	-4.497413941431195605e-02	-2.438621558700864583e-02	3.472713319080352606e-02	1.003992485247328093e-01	7.460228959891294226e-03	-4.309403522065294312e-02	1.452593276253196994e-02	3.093631550146625983e-02
-3.896129333412275825e-02	-1.135677472626191592e-01	9.074965386279310042e-02	-3.986626406995726242e-03	-1.424848635573247244e-02	-6.429514361327143268e-02	7.042145108213493376e-02	-6.021050709531601888e-03	1.816091761877825644e-02	5.225452978615401783e-02	-7.501091305662477282e-02	3.125479004344091510e-02	-1.921075482101852749e-02	-5.284388320201884037e-02	3.975845363068283150e-02	-2.839334755366419369e-02
9.144400776916544737e-02	-3.876121424499429091e-02	1.223339686425278655e-01	7.464960702618660127e-02	4.464003041913798542e-02	-4.476083647181573755e-02	3.250260709027309042e-02	3.950810121863768815e-02	-6.112958084102469714e-02	-1.206766492948697011e-03	-8.144881703955691998e-02	6.241274193966824674e-02	2.267540715285939340e-02	5.516047097231015911e-02	-4.462134525854467154e-02	1.615634869630845280e-02
-2.215237976892787258e-02	7.134598695579155714e-02	6.289152767811476141e-02	-1.542136120865638012e-02	1.782733353863566591e-03	1.271232233926008169e-02	1.801797004616385867e-02	-8.434235230496707481e-02	-5.208228087442445114e-02	-1.067440225951052715e-02	-4.087311057668816666e-02	4.440726050747854231e-02	-3.308478152416320650e-02	-2.639075602872368795e-02	2.202595046919225349e-03	2.262984488753013237e-02
4.061454205715356314e-02	-1.284162321823258297e-02	2.100318040666785541e-02	-3.263966092226240623e-02	-4.119094259427935611e-02	-4.210611101512633930e-02	-3.249649934775968724e-02	4.800100107396778476e-02	-1.354874532957135377e-02	4.847632295708474010e-02	3.532169339314068790e-02	6.915590491676258666e-02	3.018765785404594823e-02	2.410350254003143511e-05	2.404489912986417649e-02	-4.417071902893641294e-02
-9.523656904205794749e-02	-1.995169976232004025e-02	1.441406773349873313e-02	-5.348665465992734347e-02	-2.313886809269186801e-02	-5.075684506702608789e-02	-2.611617682557113018e-02	-3.709328128389551005e-02	3.010145227758790482e-02	-5.972358943423598798e-02	-5.963149104352108432e-02	2.433755240234477396e-02	1.401868712807336631e-02	-6.113933974112959607e-02	-7.962190898773925662e-02	-8.719846652694793893e-03
-1.684959150432971675e-01	-5.353118412201605947e-02	9.614505915580986647e-03	-4.774169847789873355e-02	-4.715038920997127042e-02	7.039624701372496074e-02	-5.462771052641503255e-02	-2.830943800195788451e-02	-1.185940149617480954e-01	3.413132730058366510e-02	-7.397190549532381421e-02	-5.320696792062898361e-02	6.949247393104145132e-02	-1.067385113588067459e-02	-9.842017682139686530e-02	6.302832006182587654e-02
4.682489762074584783e-02	-1.610087079306647337e-02	-2.168115568006768676e-02	-2.566131908420483942e-02	-2.163404756506915466e-02	4.729881476735342538e-02	-4.999992083834635392e-02	-2.248585093665941143e-02	-3.621513097852774310e-02	-1.737757685099880142e-02	-3.474673526724928602e-02	-7.654945253983357588e-03	6.710126398533516889e-02	-3.766126985374698005e-02	1.400142812364710103e-02	-3.507824650690041096e-02
1.107971128390495240e-02	2.735466279117546549e-03	1.229559254538192467e-02	4.963288702196150259e-02	8.370955483048680978e-02	-3.918892009649852654e-02	-3.414687031208107210e-02	1.183875263129088862e-02	-3.547448271159576311e-02	-4.093754346076702161e-02	1.160239146103938523e-01	-9.851589808422661632e-02	1.625040537004510122e-02	-2.715019524216203545e-02	7.322703041865963672e-03	4.269694846435195812e-02
-8.187487874186274994e-02	1.753687688367702030e-02	-5.120113391210417281e-03	-3.226244850903985800e-02	2.824651722074339412e-05	-5.124932725019762381e-02	-1.436587964197076073e-01	1.904205274536648063e-02	4.024209961776167854e-02	-2.184471298691414640e-02	2.018952222550473782e-02	6.771003870935974646e-03	4.357019291044818970e-02	3.420994862461286534e-02	-3.696922173383858368e-02	1.516565740702659204e-02
-2.220922237569598195e-02	-6.891145726378454343e-03	5.722072016463238681e-02	1.156774269289851872e-02	-8.410792500348879264e-02	3.163352068568089925e-02	9.826691961969420686e-02	-7.508062370864694579e-02	-1.159418862137694649e-02	5.563314798105182396e-02	7.856367528699950697e-02	-6.852966859740738069e-03	6.304665282373854429e-02	2.795637694935046783e-02	5.226316823822413360e-02	3.150185856939585749e-02
